Population	GeneID	Chr	Start	End	Biotype	LR.gene.max
Anatolia_EF	AGO1	1	36335409	36395211	protein_coding	12.110772
Anatolia_EF	AGO3	1	36396319	36538101	protein_coding	9.983644
Anatolia_EF	AGO4	1	36273773	36323491	protein_coding	12.113639
Anatolia_EF	AGRN	1	955503	991496	protein_coding	0.909408
Anatolia_EF	AGT	1	230838269	230850043	protein_coding	3.251404
Anatolia_EF	AGTRAP	1	11796141	11814859	protein_coding	2.614154
Anatolia_EF	AHCTF1	1	247002400	247095280	protein_coding	1.292708
Anatolia_EF	AHCYL1	1	110527308	110566357	protein_coding	4.680455
Anatolia_EF	AHDC1	1	27860546	27930942	protein_coding	4.122287
Anatolia_EF	AIDA	1	222841355	222886552	protein_coding	2.449561
Anatolia_EF	AIM2	1	159032274	159116886	protein_coding	1.495834
Anatolia_EF	AJAP1	1	4714792	4852594	protein_coding	2.911882
Anatolia_EF	AK2	1	33473585	33546597	protein_coding	23.869843
Anatolia_EF	AK4	1	65613232	65697828	protein_coding	2.612822
Anatolia_EF	AK5	1	77747736	78025651	protein_coding	5.050429
Anatolia_EF	AKIRIN1	1	39456895	39471731	protein_coding	1.747646
Anatolia_EF	AKNAD1	1	109358520	109506106	protein_coding	2.267218
Anatolia_EF	AKR1A1	1	46016215	46035721	protein_coding	0.933066
Anatolia_EF	AKR7A2	1	19630459	19638640	protein_coding	1.068239
Anatolia_EF	AKR7A3	1	19609052	19615744	protein_coding	4.843559
Anatolia_EF	AKT3	1	243651535	244014381	protein_coding	8.96971
Anatolia_EF	ALDH4A1	1	19197926	19229275	protein_coding	5.191663
Anatolia_EF	ALDH9A1	1	165631453	165668100	protein_coding	2.235837
Anatolia_EF	ALG14	1	95439963	95538501	protein_coding	4.367561
Anatolia_EF	ALG6	1	63833261	63904233	protein_coding	2.155907
Anatolia_EF	ALPL	1	21835858	21904905	protein_coding	3.510174
Anatolia_EF	ALX3	1	110602616	110613322	protein_coding	2.089983
Anatolia_EF	AMIGO1	1	110046797	110052360	protein_coding	1.122739
Anatolia_EF	AMPD1	1	115215719	115238239	protein_coding	1.894968
Anatolia_EF	AMPD2	1	110158726	110174673	protein_coding	3.275242
Anatolia_EF	AMY1A	1	104197912	104207173	protein_coding	0.562476
Anatolia_EF	AMY1B	1	104230037	104239302	protein_coding	0.561818
Anatolia_EF	AMY1C	1	104293028	104301312	protein_coding	1.729717
Anatolia_EF	AMY2A	1	104159999	104168402	protein_coding	1.004404
Anatolia_EF	AMY2B	1	104096437	104122156	protein_coding	1.398795
Anatolia_EF	ANGEL2	1	213165524	213189168	protein_coding	2.173503
Anatolia_EF	ANGPTL1	1	178818840	178840187	protein_coding	1.708723
Anatolia_EF	ANGPTL3	1	63063158	63071830	protein_coding	1.200935
Anatolia_EF	ANGPTL7	1	11249398	11256038	protein_coding	15.68473
Anatolia_EF	ANKRD13C	1	70726271	70820417	protein_coding	3.340204
Anatolia_EF	ANKRD34A	1	145470508	145475646	protein_coding	2.135192
Anatolia_EF	ANKRD35	1	145549230	145568526	protein_coding	2.484643
Anatolia_EF	ANKRD45	1	173578700	173639001	protein_coding	1.219659
Anatolia_EF	ANKRD65	1	1353800	1357149	protein_coding	8.230764
Anatolia_EF	ANP32E	1	150190717	150208504	protein_coding	1.640937
Anatolia_EF	ANXA9	1	150954493	150968110	protein_coding	3.093728
Anatolia_EF	AP4B1	1	114437370	114447823	protein_coding	1.569526
Anatolia_EF	APCS	1	159557615	159558655	protein_coding	2.445934
Anatolia_EF	APH1A	1	150237804	150241980	protein_coding	1.640937
Anatolia_EF	APOA2	1	161192082	161193421	protein_coding	4.35766
Anatolia_EF	APOBEC4	1	183615541	183622451	protein_coding	3.886914
Anatolia_EF	AQP10	1	154293566	154297801	protein_coding	1.909035
Anatolia_EF	ARF1	1	228270361	228286912	protein_coding	2.601702
Anatolia_EF	ARHGAP29	1	94614544	94740624	protein_coding	5.142359
Anatolia_EF	ARHGAP30	1	161016736	161039760	protein_coding	2.319673
Anatolia_EF	ARHGEF10L	1	17866330	18024369	protein_coding	5.998783
Anatolia_EF	ARHGEF11	1	156904632	157015162	protein_coding	2.729843
Anatolia_EF	ARHGEF16	1	3370990	3397677	protein_coding	8.482651
Anatolia_EF	ARHGEF19	1	16524349	16539104	protein_coding	1.23837
Anatolia_EF	ARHGEF2	1	155916630	155976861	protein_coding	5.277924
Anatolia_EF	ARID1A	1	27022524	27108595	protein_coding	4.981776
Anatolia_EF	ARID4B	1	235294949	235491534	protein_coding	2.214218
Anatolia_EF	ARL8A	1	202102532	202113869	protein_coding	2.449963
Anatolia_EF	ARNT	1	150782181	150849244	protein_coding	1.228027
Anatolia_EF	ARPC5	1	183592401	183604892	protein_coding	3.394272
Anatolia_EF	ARTN	1	44398992	44402913	protein_coding	2.923227
Anatolia_EF	ARV1	1	231114727	231136341	protein_coding	1.588433
Anatolia_EF	ASAP3	1	23755056	23811061	protein_coding	5.34981
Anatolia_EF	ASB17	1	76384558	76398116	protein_coding	4.574781
Anatolia_EF	ASCL5	1	201083081	201096312	protein_coding	3.041859
Anatolia_EF	ASH1L	1	155305059	155532598	protein_coding	3.159823
Anatolia_EF	ASH1L-AS1	1	155531821	155533775	lincRNA	3.159823
Anatolia_EF	ASPM	1	197053258	197115824	protein_coding	2.276835
Anatolia_EF	ASTN1	1	176826438	177134109	protein_coding	5.711192
Anatolia_EF	ATAD3A	1	1447531	1470067	protein_coding	4.453115
Anatolia_EF	ATAD3B	1	1407143	1433228	protein_coding	6.912974
Anatolia_EF	ATAD3C	1	1385069	1405538	protein_coding	8.230764
Anatolia_EF	ATF3	1	212738676	212794119	protein_coding	3.835984
Anatolia_EF	ATF6	1	161736084	161933860	protein_coding	5.963632
Anatolia_EF	ATG4C	1	63249806	63331184	protein_coding	2.510484
Anatolia_EF	ATP13A2	1	17312453	17338423	protein_coding	2.306903
Anatolia_EF	ATP1A1	1	116915290	116952883	protein_coding	7.083838
Anatolia_EF	ATP1A2	1	160085549	160113381	protein_coding	2.287953
Anatolia_EF	ATP1A4	1	160121360	160156767	protein_coding	2.324748
Anatolia_EF	ATP1B1	1	169074935	169101960	protein_coding	2.231208
Anatolia_EF	ATP2B4	1	203595689	203713209	protein_coding	6.110731
Anatolia_EF	ATP6V0B	1	44440159	44443967	protein_coding	3.286397
Anatolia_EF	ATP6V1G3	1	198492352	198510075	protein_coding	14.506274
Anatolia_EF	ATP8B2	1	154298029	154323783	protein_coding	1.909035
Anatolia_EF	ATPAF1	1	47098409	47139539	protein_coding	1.743656
Anatolia_EF	ATXN7L2	1	110026101	110035426	protein_coding	1.122739
Anatolia_EF	AUNIP	1	26158414	26185903	protein_coding	1.975608
Anatolia_EF	AURKAIP1	1	1309110	1310875	protein_coding	8.230764
Anatolia_EF	AVPR1B	1	206223976	206231639	protein_coding	2.614006
Anatolia_EF	AXDND1	1	179334855	179523870	protein_coding	2.530279
Anatolia_EF	B3GALNT2	1	235613238	235667781	protein_coding	3.287186
Anatolia_EF	B3GALT2	1	193148175	193155784	protein_coding	3.067648
Anatolia_EF	B3GALT6	1	1167629	1170421	protein_coding	17.447859
Anatolia_EF	B4GALT2	1	44444615	44456840	protein_coding	3.286397
Anatolia_EF	B4GALT3	1	161141100	161147287	protein_coding	4.35766
Anatolia_EF	BARHL2	1	91177096	91182794	protein_coding	0.755033
Anatolia_EF	BATF3	1	212859760	212873327	protein_coding	1.853709
Anatolia_EF	BCAN	1	156611182	156629324	protein_coding	1.914277
Anatolia_EF	BCAR3	1	94027347	94312706	protein_coding	13.917015
Anatolia_EF	BCAS2	1	115110178	115124260	protein_coding	1.087945
Anatolia_EF	BCL10	1	85731931	85742773	protein_coding	2.968167
Anatolia_EF	BCL2L15	1	114420790	114430169	protein_coding	0.810426
Anatolia_EF	BCL9	1	147013182	147098017	protein_coding	3.221545
Anatolia_EF	BEND5	1	49193195	49242641	protein_coding	3.147701
Anatolia_EF	BEST4	1	45249257	45253377	protein_coding	1.976275
Anatolia_EF	BGLAP	1	156211753	156213112	protein_coding	0.680933
Anatolia_EF	BLZF1	1	169337208	169365778	protein_coding	1.239499
Anatolia_EF	BMP8A	1	39957318	39991607	protein_coding	2.263571
Anatolia_EF	BMP8B	1	40222854	40254533	protein_coding	3.877807
Anatolia_EF	BNIPL	1	151009046	151020076	protein_coding	3.093728
Anatolia_EF	BOLA1	1	149859440	149872351	protein_coding	2.650473
Anatolia_EF	BPNT1	1	220230824	220263804	protein_coding	2.516406
Anatolia_EF	BRDT	1	92414928	92479983	protein_coding	4.686454
Anatolia_EF	BRINP2	1	177140633	177251558	protein_coding	2.130307
Anatolia_EF	BRINP3	1	190066792	190446759	protein_coding	1.999876
Anatolia_EF	BROX	1	222885895	222908538	protein_coding	2.449561
Anatolia_EF	BSDC1	1	32830704	32860332	protein_coding	10.231932
Anatolia_EF	BSND	1	55464606	55476556	protein_coding	1.982366
Anatolia_EF	BTBD19	1	45274154	45281257	protein_coding	1.976275
Anatolia_EF	BTBD8	1	92545862	92613393	protein_coding	3.148384
Anatolia_EF	BTF3L4	1	52521797	52556388	protein_coding	11.386386
Anatolia_EF	BTG2	1	203274619	203278730	protein_coding	3.01277
Anatolia_EF	C1QA	1	22962999	22966101	protein_coding	2.708304
Anatolia_EF	C1QB	1	22979255	22988031	protein_coding	2.708304
Anatolia_EF	C1QC	1	22970123	22974603	protein_coding	2.708304
Anatolia_EF	C1orf100	1	244515937	244552965	protein_coding	8.689764
Anatolia_EF	C1orf105	1	172389828	172437971	protein_coding	4.878056
Anatolia_EF	C1orf109	1	38147242	38157914	protein_coding	2.569362
Anatolia_EF	C1orf112	1	169631245	169823221	protein_coding	3.779051
Anatolia_EF	C1orf115	1	220863187	220872499	protein_coding	12.432493
Anatolia_EF	C1orf116	1	207191866	207206101	protein_coding	1.590433
Anatolia_EF	C1orf122	1	38272651	38275126	protein_coding	2.592994
Anatolia_EF	C1orf123	1	53679771	53686289	protein_coding	3.110695
Anatolia_EF	C1orf127	1	11006528	11042094	protein_coding	2.775806
Anatolia_EF	C1orf131	1	231359509	231376933	protein_coding	7.1256
Anatolia_EF	C1orf137	1	117236734	117249225	protein_coding	1.878635
Anatolia_EF	C1orf141	1	67557848	67697536	protein_coding	3.048562
Anatolia_EF	C1orf146	1	92683497	92711370	protein_coding	0.710661
Anatolia_EF	C1orf158	1	12806163	12823847	protein_coding	5.481548
Anatolia_EF	C1orf159	1	1017198	1051741	protein_coding	2.839903
Anatolia_EF	C1orf162	1	112016414	112021134	protein_coding	10.025144
Anatolia_EF	C1orf174	1	3805689	3816857	protein_coding	2.782506
Anatolia_EF	C1orf185	1	51567906	51613752	protein_coding	15.930274
Anatolia_EF	C1orf189	1	154171848	154178809	protein_coding	1.104017
Anatolia_EF	C1orf194	1	109648573	109656479	protein_coding	0.807035
Anatolia_EF	C1orf195	1	15490840	15497813	protein_coding	1.984267
Anatolia_EF	C1orf198	1	230972865	231005335	protein_coding	2.796105
Anatolia_EF	C1orf21	1	184356192	184598154	protein_coding	3.508514
Anatolia_EF	C1orf210	1	43747554	43751288	protein_coding	1.331783
Anatolia_EF	C1orf216	1	36179476	36185073	protein_coding	10.405542
Anatolia_EF	C1orf220	1	178511887	178518024	protein_coding	6.406626
Anatolia_EF	C1orf226	1	162336698	162356600	protein_coding	1.578162
Anatolia_EF	C1orf229	1	247273462	247275719	protein_coding	1.998668
Anatolia_EF	C1orf35	1	228288427	228293112	protein_coding	2.601702
Anatolia_EF	C1orf43	1	154179182	154193104	protein_coding	1.104017
Anatolia_EF	C1orf50	1	43232940	43263968	protein_coding	2.197932
Anatolia_EF	C1orf52	1	85715639	85725355	protein_coding	2.968167
Anatolia_EF	C1orf53	1	197871777	197876497	protein_coding	2.248437
Anatolia_EF	C1orf54	1	150240600	150253327	protein_coding	1.640937
Anatolia_EF	C1orf56	1	151020216	151024462	protein_coding	3.093728
Anatolia_EF	C1orf61	1	156374042	156400493	protein_coding	2.167336
Anatolia_EF	C1orf68	1	152691998	152692905	protein_coding	1.730307
Anatolia_EF	C1orf74	1	209955661	209957904	protein_coding	8.301956
Anatolia_EF	C1orf87	1	60452941	60539442	protein_coding	2.685635
Anatolia_EF	C1orf94	1	34632484	34684732	protein_coding	5.983963
Anatolia_EF	C2CD4D	1	151810295	151813033	protein_coding	5.472162
Anatolia_EF	C4BPA	1	207277607	207318317	protein_coding	4.015382
Anatolia_EF	C4BPB	1	207262187	207273338	protein_coding	4.015382
Anatolia_EF	C8A	1	57320479	57383894	protein_coding	2.879839
Anatolia_EF	C8B	1	57394883	57431813	protein_coding	7.295708
Anatolia_EF	CA14	1	150229554	150237478	protein_coding	1.640937
Anatolia_EF	CA6	1	9005926	9035151	protein_coding	7.74568
Anatolia_EF	CACHD1	1	64936428	65158741	protein_coding	7.872531
Anatolia_EF	CACNA1E	1	181382238	181777219	protein_coding	7.008002
Anatolia_EF	CACNA1S	1	201008642	201081694	protein_coding	3.041859
Anatolia_EF	CACYBP	1	174968300	174980851	protein_coding	4.31697
Anatolia_EF	CADM3	1	159141399	159173103	protein_coding	1.495834
Anatolia_EF	CALML6	1	1846266	1848735	protein_coding	0.800025
Anatolia_EF	CAMK1G	1	209757062	209787283	protein_coding	1.846039
Anatolia_EF	CAMK2N1	1	20808884	20812713	protein_coding	2.675971
Anatolia_EF	CAMSAP2	1	200708686	200829832	protein_coding	2.390442
Anatolia_EF	CAMTA1	1	6845384	7829766	protein_coding	6.782561
Anatolia_EF	CAP1	1	40505905	40538321	protein_coding	17.707378
Anatolia_EF	CAPN2	1	223889295	223963720	protein_coding	9.529197
Anatolia_EF	CAPN8	1	223711349	223853436	protein_coding	7.7246
Anatolia_EF	CAPN9	1	230883130	230937749	protein_coding	3.251404
Anatolia_EF	CAPZA1	1	113161795	113214241	protein_coding	5.293474
Anatolia_EF	CAPZB	1	19665267	19812066	protein_coding	2.840584
Anatolia_EF	CASP9	1	15817327	15853029	protein_coding	1.274261
Anatolia_EF	CASQ1	1	160160285	160171676	protein_coding	2.324748
Anatolia_EF	CASQ2	1	116242628	116311402	protein_coding	3.222133
Anatolia_EF	CASZ1	1	10696661	10856707	protein_coding	5.526669
Anatolia_EF	CATSPER4	1	26517052	26529459	protein_coding	5.328416
Anatolia_EF	CC2D1B	1	52811395	52831865	protein_coding	8.807915
Anatolia_EF	CCDC17	1	46085716	46089729	protein_coding	0.456489
Anatolia_EF	CCDC18	1	93645476	93744287	protein_coding	1.133319
Anatolia_EF	CCDC181	1	169364108	169429907	protein_coding	2.696342
Anatolia_EF	CCDC24	1	44457031	44462200	protein_coding	3.286397
Anatolia_EF	CCDC27	1	3668962	3688209	protein_coding	3.158733
Anatolia_EF	CCDC28B	1	32665987	32670988	protein_coding	1.915587
Anatolia_EF	CCDC30	1	42929001	43120335	protein_coding	1.706365
Anatolia_EF	CCNL2	1	1321091	1334708	protein_coding	8.230764
Anatolia_EF	CCSAP	1	229456758	229479041	protein_coding	1.064512
Anatolia_EF	CCT3	1	156278759	156337664	protein_coding	2.167336
Anatolia_EF	CD101	1	117544382	117579167	protein_coding	3.926597
Anatolia_EF	CD160	1	145695798	145715614	protein_coding	2.978792
Anatolia_EF	CD164L2	1	27705666	27709870	protein_coding	0.744063
Anatolia_EF	CD1A	1	158223927	158228059	protein_coding	6.024054
Anatolia_EF	CD1B	1	158297741	158301321	protein_coding	1.603814
Anatolia_EF	CD1C	1	158259576	158263420	protein_coding	5.702454
Anatolia_EF	CD1D	1	158149737	158154686	protein_coding	6.024054
Anatolia_EF	CD1E	1	158323254	158327343	protein_coding	1.603814
Anatolia_EF	CD2	1	117297007	117311850	protein_coding	2.226981
Anatolia_EF	CD244	1	160799950	160832692	protein_coding	11.947021
Anatolia_EF	CD247	1	167399877	167487847	protein_coding	5.662808
Anatolia_EF	CD34	1	208057594	208084747	protein_coding	2.934113
Anatolia_EF	CD46	1	207925402	207968858	protein_coding	2.934113
Anatolia_EF	CD48	1	160648536	160681641	protein_coding	2.778963
Anatolia_EF	CD52	1	26644448	26647014	protein_coding	4.626516
Anatolia_EF	CD53	1	111415775	111442550	protein_coding	3.260779
Anatolia_EF	CD55	1	207494853	207534311	protein_coding	1.222283
Anatolia_EF	CD58	1	117057157	117113661	protein_coding	4.289364
Anatolia_EF	CD5L	1	157800704	157868046	protein_coding	2.488413
Anatolia_EF	CD84	1	160510885	160549306	protein_coding	5.962365
Anatolia_EF	CDA	1	20915441	20945401	protein_coding	2.06925
Anatolia_EF	CDC14A	1	100810584	100985833	protein_coding	4.398715
Anatolia_EF	CDC20	1	43824626	43828874	protein_coding	1.207089
Anatolia_EF	CDC42	1	22379120	22419437	protein_coding	9.503343
Anatolia_EF	CDC42BPA	1	227177566	227506175	protein_coding	3.229411
Anatolia_EF	CDC42SE1	1	151023447	151042801	protein_coding	2.92763
Anatolia_EF	CDC7	1	91966408	91991321	protein_coding	4.282445
Anatolia_EF	CDC73	1	193091147	193223031	protein_coding	5.492464
Anatolia_EF	CDCA8	1	38158090	38175391	protein_coding	2.569362
Anatolia_EF	CDCP2	1	54598747	54619443	protein_coding	3.558634
Anatolia_EF	CDK11A	1	1634169	1655766	protein_coding	1.339254
Anatolia_EF	CDK11B	1	1570603	1590473	protein_coding	1.88182
Anatolia_EF	CDK18	1	205473723	205501921	protein_coding	1.974312
Anatolia_EF	CDKN2C	1	51426417	51440305	protein_coding	2.074343
Anatolia_EF	CELA2A	1	15783223	15798586	protein_coding	1.274261
Anatolia_EF	CELA2B	1	15792404	15817895	protein_coding	1.274261
Anatolia_EF	CELA3A	1	22328149	22339032	protein_coding	13.371503
Anatolia_EF	CELA3B	1	22303514	22325135	protein_coding	16.023799
Anatolia_EF	CELF3	1	151674880	151689290	protein_coding	1.42203
Anatolia_EF	CELSR2	1	109792641	109818372	protein_coding	4.254067
Anatolia_EF	CENPF	1	214776538	214837931	protein_coding	4.791173
Anatolia_EF	CENPL	1	173768688	173793858	protein_coding	2.505272
Anatolia_EF	CEP104	1	3728645	3773778	protein_coding	3.158733
Anatolia_EF	CEP170	1	243287730	243418650	protein_coding	1.232868
Anatolia_EF	CEP350	1	179923873	180084015	protein_coding	7.288525
Anatolia_EF	CEP85	1	26560691	26605299	protein_coding	5.328416
Anatolia_EF	CEPT1	1	111682249	111727724	protein_coding	7.031517
Anatolia_EF	CERS2	1	150933059	150947479	protein_coding	3.093728
Anatolia_EF	CFH	1	196621008	196716634	protein_coding	1.18812
Anatolia_EF	CFHR1	1	196788887	196801319	protein_coding	0.81483
Anatolia_EF	CFHR2	1	196788898	196928356	protein_coding	1.418066
Anatolia_EF	CFHR3	1	196743925	196763203	protein_coding	1.18812
Anatolia_EF	CFHR4	1	196819371	196888102	protein_coding	0.81483
Anatolia_EF	CFHR5	1	196946667	196978804	protein_coding	2.276835
Anatolia_EF	CGN	1	151482986	151511168	protein_coding	3.948297
Anatolia_EF	CHD1L	1	146714291	146767443	protein_coding	9.826984
Anatolia_EF	CHD5	1	6161853	6240183	protein_coding	9.594235
Anatolia_EF	CHI3L1	1	203148059	203155877	protein_coding	8.911527
Anatolia_EF	CHI3L2	1	111743393	111786062	protein_coding	7.031517
Anatolia_EF	CHIA	1	111833484	111863188	protein_coding	2.291492
Anatolia_EF	CHIT1	1	203181955	203242769	protein_coding	8.911527
Anatolia_EF	CHML	1	241792155	241799232	protein_coding	1.865059
Anatolia_EF	CHRM3	1	239549865	240078750	protein_coding	4.823395
Anatolia_EF	CHRNB2	1	154540257	154552502	protein_coding	3.749047
Anatolia_EF	CHTOP	1	153606525	153618782	protein_coding	2.632724
Anatolia_EF	CITED4	1	41326729	41328018	protein_coding	4.647863
Anatolia_EF	CKS1B	1	154947129	154951725	protein_coding	2.111727
Anatolia_EF	CLCA1	1	86934051	86965972	protein_coding	3.008551
Anatolia_EF	CLCA2	1	86889769	86922241	protein_coding	3.008551
Anatolia_EF	CLCA4	1	87012761	87046437	protein_coding	0.939551
Anatolia_EF	CLCC1	1	109472130	109506111	protein_coding	2.267218
Anatolia_EF	CLCN6	1	11866207	11903201	protein_coding	3.400335
Anatolia_EF	CLCNKA	1	16345370	16360545	protein_coding	2.755332
Anatolia_EF	CLCNKB	1	16370272	16383803	protein_coding	2.755332
Anatolia_EF	CLDN19	1	43198764	43205925	protein_coding	2.297668
Anatolia_EF	CLIC4	1	25071848	25170815	protein_coding	1.213341
Anatolia_EF	CLK2	1	155232659	155248282	protein_coding	0.765975
Anatolia_EF	CLSPN	1	36185819	36235568	protein_coding	12.113639
Anatolia_EF	CLSTN1	1	9789084	9884584	protein_coding	15.053427
Anatolia_EF	CMPK1	1	47799469	47844511	protein_coding	1.531505
Anatolia_EF	CNIH3	1	224622362	224928251	protein_coding	7.421163
Anatolia_EF	CNIH4	1	224544552	224567161	protein_coding	3.628993
Anatolia_EF	CNKSR1	1	26503894	26516377	protein_coding	5.328416
Anatolia_EF	CNN3	1	95362507	95392834	protein_coding	2.135617
Anatolia_EF	CNR2	1	24197016	24285549	protein_coding	1.55069
Anatolia_EF	CNST	1	246729746	246831886	protein_coding	3.418635
Anatolia_EF	CNTN2	1	205012325	205047627	protein_coding	2.559457
Anatolia_EF	COA6	1	234509202	234519795	protein_coding	3.40395
Anatolia_EF	COA7	1	53152508	53164038	protein_coding	1.06037
Anatolia_EF	COG2	1	230778235	230829728	protein_coding	3.667351
Anatolia_EF	COL11A1	1	103342023	103574052	protein_coding	1.858706
Anatolia_EF	COL16A1	1	32117848	32169920	protein_coding	4.226327
Anatolia_EF	COL24A1	1	86194916	86622626	protein_coding	5.27308
Anatolia_EF	COL8A2	1	36560837	36590821	protein_coding	2.902718
Anatolia_EF	COL9A2	1	40766159	40783488	protein_coding	2.998387
Anatolia_EF	COLGALT2	1	183898796	184006863	protein_coding	3.959059
Anatolia_EF	COPA	1	160259063	160313190	protein_coding	5.744384
Anatolia_EF	CORT	1	10509776	10511959	protein_coding	1.542099
Anatolia_EF	COX20	1	244998624	245008359	protein_coding	3.247756
Anatolia_EF	CPT2	1	53662101	53679869	protein_coding	3.110695
Anatolia_EF	CR1	1	207669492	207813992	protein_coding	1.175972
Anatolia_EF	CR1L	1	207818458	207911761	protein_coding	0.903723
Anatolia_EF	CR2	1	207627575	207663240	protein_coding	1.035244
Anatolia_EF	CRABP2	1	156669398	156675608	protein_coding	1.914277
Anatolia_EF	CRB1	1	197170592	197447585	protein_coding	2.330356
Anatolia_EF	CRCT1	1	152486978	152488486	protein_coding	4.93146
Anatolia_EF	CREB3L4	1	153940010	153946839	protein_coding	2.795792
Anatolia_EF	CREG1	1	167498914	167523004	protein_coding	5.662808
Anatolia_EF	CRNN	1	152381719	152386739	protein_coding	9.435539
Anatolia_EF	CROCC	1	17066768	17299474	protein_coding	2.306903
Anatolia_EF	CROCCP2	1	16944751	16971178	lincRNA	0.049687
Anatolia_EF	CRP	1	159682079	159684379	protein_coding	2.123832
Anatolia_EF	CRTC2	1	153920145	153931101	protein_coding	3.205537
Anatolia_EF	CRYZ	1	75171170	75199092	protein_coding	2.253932
Anatolia_EF	CSDE1	1	115259534	115301297	protein_coding	1.894968
Anatolia_EF	CSF1	1	110452864	110473614	protein_coding	2.868942
Anatolia_EF	CSF3R	1	36931644	36948879	protein_coding	2.527782
Anatolia_EF	CSMD2	1	33979609	34631443	protein_coding	6.069326
Anatolia_EF	CSRP1	1	201452658	201478584	protein_coding	2.016055
Anatolia_EF	CTBS	1	85015289	85040163	protein_coding	2.119748
Anatolia_EF	CTH	1	70876901	70905534	protein_coding	1.969254
Anatolia_EF	CTNNBIP1	1	9908334	9970394	protein_coding	23.656734
Anatolia_EF	CTPS1	1	41445007	41478235	protein_coding	2.238511
Anatolia_EF	CTRC	1	15764935	15775737	protein_coding	1.274261
Anatolia_EF	CTSE	1	206317459	206332104	protein_coding	1.46744
Anatolia_EF	CTSK	1	150768684	150780799	protein_coding	1.228027
Anatolia_EF	CTSS	1	150702672	150738433	protein_coding	1.20204
Anatolia_EF	CTTNBP2NL	1	112938803	113006078	protein_coding	2.055756
Anatolia_EF	CYB561D1	1	110036674	110045554	protein_coding	1.122739
Anatolia_EF	CYB5R1	1	202930997	202936408	protein_coding	2.130278
Anatolia_EF	CYB5RL	1	54638009	54665709	protein_coding	3.558634
Anatolia_EF	CYP2J2	1	60358980	60392462	protein_coding	18.55866
Anatolia_EF	CYP4A11	1	47394849	47407156	protein_coding	3.807277
Anatolia_EF	CYP4A22	1	47603107	47615413	protein_coding	2.101977
Anatolia_EF	CYP4B1	1	47223510	47285085	protein_coding	2.841106
Anatolia_EF	CYP4X1	1	47427036	47516423	protein_coding	2.800177
Anatolia_EF	CYP4Z1	1	47533160	47583991	protein_coding	2.073693
Anatolia_EF	CYR61	1	86046444	86049645	protein_coding	3.478501
Anatolia_EF	DAB1	1	57460451	59012406	protein_coding	7.295708
Anatolia_EF	DAP3	1	155657751	155708801	protein_coding	5.5609
Anatolia_EF	DARS2	1	173793641	173827684	protein_coding	2.505272
Anatolia_EF	DBT	1	100652475	100715390	protein_coding	1.236002
Anatolia_EF	DCAF6	1	167905021	168045081	protein_coding	2.362626
Anatolia_EF	DCAF8	1	160185505	160254920	protein_coding	5.744384
Anatolia_EF	DCDC2B	1	32674695	32681797	protein_coding	1.915587
Anatolia_EF	DCLRE1B	1	114447763	114456708	protein_coding	1.615645
Anatolia_EF	DCST1	1	155006300	155023406	protein_coding	0.696989
