position	x	n	folded
2283117	5	36	1
2283896	13	29	1
2285730	3	22	1
2286408	2	27	1
2287616	19	31	1
2288747	21	36	1
2288852	2	31	1
2289321	10	30	1
2289480	4	20	1
2291680	27	38	1
2292352	2	30	1
2292409	27	44	1
2299627	3	37	1
2299651	20	25	1
2301691	16	40	1
2302911	16	41	1
2306695	3	4	1
2306972	14	37	1
2309082	13	30	1
2310193	1	39	1
2314319	24	28	1
2315680	16	42	1
2315717	24	40	1
2316315	6	23	1
2319428	5	10	1
2320702	2	32	1
2326009	7	17	1
2327075	2	22	1
2327815	21	29	1
2333031	24	35	1
2335676	20	25	1
2338569	27	36	1
2339074	25	35	1
2339115	25	36	1
2339139	16	30	1
2349769	11	31	1
2351575	16	34	1
2354886	19	21	1
2359981	3	22	1
2362020	4	23	1
2368706	6	19	1
2369498	17	30	1
2373089	11	20	1
2388385	2	17	1
2390588	27	40	1
2394074	23	33	1
2394226	11	33	1
2395452	3	24	1
2397136	6	17	1
2397749	5	35	1
2404256	4	14	1
2406887	4	29	1
2408834	1	41	1
2409276	19	41	1
2414928	8	24	1
2416357	10	30	1
2420233	2	23	1
2424122	3	25	1
2425992	18	20	1
2427712	11	29	1
2431057	10	36	1
2439191	7	34	1
2444414	8	31	1
2446880	17	36	1
2448188	8	37	1
2450394	11	28	1
2456203	19	21	1
2466633	18	26	1
2488153	12	36	1
2488608	10	28	1
2490942	10	27	1
2494330	2	33	1
2497641	16	39	1
2501338	1	7	1
2502780	16	38	1
2507938	10	35	1
2513216	14	35	1
2526746	7	20	1
2528682	8	11	1
2528999	19	27	1
2529360	19	33	1
2532899	13	20	1
2533250	13	42	1
2538738	3	40	1
2539603	4	9	1
2551900	7	36	1
2553624	8	41	1
2556125	6	32	1
2582502	5	40	1
2694496	16	36	1
2699649	18	22	1
2709164	7	31	1
2713327	13	37	1
2727804	19	37	1
2745883	14	37	1
2749716	16	32	1
2749921	10	37	1
2752693	1	3	1
2754512	14	31	1
2756621	21	34	1
2758893	2	8	1
2761863	16	29	1
2769542	34	35	1
2779043	11	27	1
2785671	1	30	1
2787093	13	32	1
2788713	14	29	1
2789108	13	30	1
2797856	19	30	1
2801459	3	38	1
2806107	11	24	1
2811814	4	31	1
2822146	3	16	1
2823316	2	16	1
2823459	8	21	1
2824989	6	31	1
2825154	6	23	1
2829551	9	30	1
2835692	10	42	1
2839008	1	32	1
2842270	3	39	1
2842319	5	26	1
2844067	4	39	1
2847488	11	32	1
2849190	4	42	1
2850181	1	4	1
2852206	1	36	1
2853003	2	27	1
2853759	2	28	1
2859668	1	40	1
2859724	5	35	1
2860931	9	35	1
2862320	1	6	1
2862480	4	18	1
2869913	2	33	1
2870850	3	35	1
2876525	35	40	1
2878366	14	29	1
2879640	8	32	1
2883858	1	20	1
2883932	1	34	1
2886466	3	34	1
2889577	25	33	1
2891713	15	26	1
2896735	20	29	1
2902128	33	36	1
2904056	27	29	1
2926379	1	37	1
2927624	1	41	1
2928421	3	37	1
2938989	8	32	1
2944527	16	36	1
2951834	1	24	1
2973322	2	40	1
2974852	24	36	1
2979184	1	21	1
2983963	12	28	1
2984087	11	25	1
2993638	29	30	1
2996602	21	35	1
2997893	1	23	1
3004232	11	35	1
3004788	7	26	1
3006283	12	39	1
3007039	7	22	1
3009969	7	24	1
3011329	4	12	1
3013690	9	29	1
3020246	7	28	1
3024705	12	36	1
3025712	1	14	1
3037613	18	35	1
3044181	13	30	1
3047252	12	25	1
3047742	1	21	1
3048742	5	41	1
3049362	1	26	1
3050221	1	36	1
3050497	4	39	1
3054106	11	39	1
3055876	12	22	1
3057661	10	26	1
3058233	3	9	1
3072692	4	29	1
3074306	3	34	1
3080855	5	13	1
3083712	1	7	1
3090768	3	35	1
3096355	19	27	1
3101353	1	14	1
3101762	1	33	1
3103312	1	35	1
3104630	28	36	1
3109151	16	17	1
3120632	1	28	1
3122321	2	27	1
3130016	2	29	1
3133439	2	36	1
3134331	1	23	1
3137199	1	33	1
3137699	1	33	1
3139916	1	28	1
3140413	1	39	1
3140812	1	32	1
3143384	2	25	1
3154862	2	20	1
3162209	2	35	1
3171929	22	30	1
3172702	5	32	1
3181415	1	35	1
3191909	3	34	1
3199217	5	43	1
3208375	18	30	1
3209923	21	40	1
3210950	17	32	1
3211458	23	37	1
3214732	23	36	1
3217434	14	35	1
3219901	29	40	1
3219950	7	40	1
3225940	14	34	1
3227188	19	37	1
3228915	7	34	1
3230544	3	20	1
3233631	8	35	1
3236041	15	41	1
3241135	2	29	1
3241829	12	31	1
3243017	5	31	1
3247836	3	10	1
3248098	18	38	1
3249242	14	40	1
3250942	1	39	1
3252104	20	38	1
3253941	4	43	1
3254356	15	39	1
3255539	17	36	1
3256108	2	18	1
3257059	5	14	1
3259113	6	26	1
3259183	2	34	1
3259369	15	38	1
3261516	3	39	1
3261682	13	33	1
3261925	2	34	1
3264190	19	32	1
3264297	19	32	1
3269828	10	31	1
3273063	17	35	1
3274824	1	34	1
3275149	4	27	1
3276138	4	38	1
3276374	13	31	1
3280021	8	26	1
3283528	9	27	1
3285304	18	24	1
3285860	1	33	1
3289524	15	34	1
3289729	19	26	1
3289971	19	34	1
3293665	15	21	1
3294422	3	35	1
3294972	28	34	1
3297638	12	38	1
3300807	6	13	1
3301130	31	37	1
3302871	12	37	1
3304336	1	32	1
3305016	7	35	1
3307746	19	22	1
3308034	2	11	1
3308498	17	33	1
3312914	11	36	1
3312963	2	36	1
3314596	5	22	1
3317780	2	34	1
3318532	20	39	1
3320799	12	36	1
3323477	3	30	1
3328358	34	40	1
3328659	3	40	1
3329384	2	25	1
3333463	3	30	1
3333595	4	37	1
3334137	1	37	1
3334892	33	34	1
3336200	31	32	1
3340116	30	33	1
3342804	8	39	1
3343802	2	7	1
3345705	8	38	1
3349513	10	37	1
3356405	26	27	1
3368143	1	12	1
3374360	33	34	1
3400294	1	27	1
3423467	2	36	1
3428608	3	24	1
3445911	1	39	1
3446813	1	31	1
3448867	2	35	1
3450637	14	23	1
3451005	11	37	1
3454592	9	35	1
3455757	1	14	1
3456592	14	36	1
3456871	8	33	1
3457295	1	39	1
3472928	1	29	1
3473345	4	37	1
3473428	1	21	1
3474626	3	28	1
3480149	2	34	1
3482334	5	32	1
3482588	11	31	1
3493819	2	35	1
3493850	22	34	1
3495541	36	37	1
3504073	26	29	1
3507861	29	31	1
3510633	5	33	1
3511295	4	35	1
3512516	29	35	1
3512800	33	40	1
3518488	22	36	1
3520871	2	22	1
3531595	29	37	1
3533564	22	31	1
3537362	15	21	1
3540374	6	34	1
3543493	1	2	1
3544154	1	40	1
3544346	1	12	1
3546935	1	38	1
3548136	20	25	1
3555428	1	36	1
3558228	1	42	1
3575929	8	33	1
3578946	5	34	1
3580830	4	34	1
3581127	11	31	1
3583440	2	39	1
3584771	9	39	1
3585041	3	25	1
3592436	8	21	1
3597017	2	36	1
3597224	1	27	1
3604812	19	31	1
3611892	4	32	1
3616601	11	22	1
3627666	14	35	1
3630476	1	36	1
3633380	11	19	1
3634459	17	30	1
3634660	14	15	1
3637459	9	36	1
3637613	20	23	1
3651126	21	26	1
3657759	6	31	1
3661182	4	34	1
3662845	3	35	1
3671791	2	22	1
3677933	4	38	1
3680729	1	27	1
3681063	6	36	1
3681831	1	40	1
3684185	2	25	1
3691528	3	39	1
3691727	7	34	1
3694673	2	20	1
3694796	4	28	1
3696000	5	11	1
3696536	3	38	1
3696890	19	38	1
3697137	14	31	1
3706538	17	33	1
3709412	8	31	1
3711689	11	36	1
3721318	2	35	1
3721609	7	37	1
3728061	2	13	1
3732172	16	37	1
3732707	18	35	1
3737540	13	44	1
3742009	1	32	1
3742257	3	34	1
3742560	1	38	1
3743132	4	10	1
3743319	7	34	1
3743391	2	27	1
3745924	1	10	1
3748513	10	38	1
3756120	6	7	1
3756493	34	35	1
3761479	19	31	1
3762815	2	21	1
3764216	2	34	1
3765549	19	20	1
3765678	32	36	1
3765755	13	22	1
3766441	14	26	1
3766587	2	23	1
3767267	1	33	1
3768568	4	38	1
3773089	11	35	1
3776022	14	19	1
3776105	5	34	1
3776166	5	31	1
3779151	31	32	1
3786245	1	19	1
3787187	2	28	1
3792715	3	32	1
3795934	2	27	1
3796022	1	36	1
3796948	4	36	1
3797125	2	20	1
3797309	3	22	1
3797995	12	15	1
3800242	19	39	1
3803755	30	35	1
3804683	18	31	1
3807388	1	41	1
3809423	3	38	1
3811810	2	33	1
3816950	1	26	1
3821216	5	32	1
3821782	5	8	1
3823804	1	24	1
3833321	12	33	1
3835789	7	34	1
3996946	1	17	1
4000916	1	36	1
4002832	18	32	1
4002958	3	38	1
4004250	7	30	1
4004761	1	16	1
4005045	3	23	1
4005412	11	27	1
4006060	10	29	1
4006788	1	11	1
4007008	9	37	1
4007110	12	29	1
4007558	4	37	1
4008569	8	34	1
4009071	10	38	1
4009793	9	32	1
4009956	10	36	1
4010743	2	34	1
4012472	1	5	1
4013618	20	35	1
4013954	3	39	1
4015382	27	37	1
4016934	11	22	1
4017137	17	32	1
4022465	19	33	1
4024256	11	21	1
4024614	14	35	1
4026838	17	33	1
4027111	1	24	1
4029089	3	34	1
4030262	1	26	1
4031814	2	32	1
4034059	3	28	1
4034097	3	25	1
4039145	11	28	1
4039896	11	36	1
4040155	13	28	1
4047277	20	41	1
4053435	6	36	1
4054067	9	36	1
4056356	9	28	1
4057488	26	34	1
4061608	7	40	1
4068052	8	29	1
4071192	11	36	1
4076044	13	29	1
4076257	11	37	1
4076707	12	29	1
4077593	1	2	1
4077681	15	38	1
4077707	10	36	1
4080764	16	40	1
4081525	1	7	1
4082367	8	27	1
4084304	6	20	1
4085504	4	17	1
4111187	6	36	1
4118571	26	36	1
4119422	1	36	1
4119578	9	36	1
4120311	7	35	1
4120987	6	26	1
4121105	30	36	1
4121584	7	36	1
4123099	1	38	1
4128154	28	39	1
4128695	20	30	1
4128767	8	13	1
4129247	16	18	1
4130684	21	31	1
4131181	12	17	1
4131316	20	24	1
4131726	15	21	1
4132126	15	20	1
4132222	1	31	1
4133096	35	42	1
4140030	31	35	1
4145615	7	33	1
4146028	31	33	1
4146369	5	29	1
4152928	16	41	1
4153087	4	28	1
4155841	11	40	1
4158955	4	6	1
4170048	1	32	1
4170249	4	37	1
4174116	3	38	1
4175337	1	20	1
4178303	31	34	1
4178413	6	13	1
4178852	19	45	1
4178990	1	40	1
4180842	24	40	1
4181168	1	37	1
4183006	14	36	1
4183258	2	24	1
4185126	26	38	1
4187952	28	35	1
4190982	1	32	1
4190983	1	30	1
4193426	1	6	1
4194778	2	31	1
4195698	16	26	1
4197035	5	11	1
4197256	17	22	1
4197642	24	37	1
4200169	1	16	1
4201349	4	22	1
4201815	18	32	1
4202343	16	24	1
4202818	30	43	1
4206210	1	36	1
4207525	6	27	1
4210402	5	25	1
4210455	2	34	1
4212626	2	38	1
4214031	5	33	1
4216165	3	36	1
4216862	7	36	1
4222406	3	39	1
4224103	27	30	1
4227094	1	34	1
4230463	3	25	1
4231631	3	23	1
4231685	6	41	1
4231757	12	39	1
4232362	1	35	1
4234053	3	19	1
4236982	26	28	1
4239028	2	39	1
4240178	24	25	1
4250933	15	20	1
4251398	7	11	1
4263519	2	23	1
4267889	9	32	1
4269491	33	43	1
4271976	2	24	1
4273842	8	33	1
4281458	24	33	1
4282786	5	35	1
4288552	34	40	1
4289045	32	36	1
4289935	5	32	1
4291842	10	14	1
4293892	1	27	1
4294000	3	38	1
4295001	6	35	1
4295304	9	37	1
4295957	5	25	1
4299727	3	37	1
4300806	3	35	1
4312148	3	40	1
4312205	24	35	1
4315204	27	35	1
4316784	11	12	1
4317251	36	40	1
4323102	1	28	1
4325239	1	16	1
4326368	10	18	1
4327635	16	22	1
4328476	9	40	1
4330287	15	19	1
4333668	31	35	1
4340427	8	39	1
4341234	2	31	1
4341843	8	35	1
4342604	10	37	1
4351888	1	33	1
4354060	5	19	1
4355468	26	33	1
4359166	4	22	1
4364070	16	27	1
4364226	22	34	1
4366890	7	37	1
4367323	21	30	1
4367389	2	24	1
4368216	4	33	1
4368951	5	27	1
4370074	2	40	1
4370385	26	29	1
4371863	11	38	1
4372992	1	32	1
4375859	18	33	1
4376816	18	35	1
4377032	16	28	1
4379687	4	32	1
4380344	22	35	1
4381253	14	28	1
4382789	19	39	1
4384056	2	17	1
4384773	5	37	1
4384859	12	29	1
4389262	1	21	1
4394304	4	31	1
4395059	3	28	1
4396104	4	23	1
4397528	5	37	1
4398015	2	40	1
4401563	7	36	1
4402714	1	34	1
4402852	12	34	1
4404344	1	38	1
4404639	5	23	1
4407033	3	37	1
4409496	6	33	1
4411851	9	38	1
4415431	2	36	1
4418164	4	39	1
4419454	3	26	1
4419820	1	24	1
4420408	7	39	1
4420492	3	34	1
4422683	1	28	1
4423896	7	36	1
4424145	3	33	1
4425414	3	40	1
4438509	5	35	1
4439660	24	32	1
4440731	1	40	1
4440749	2	37	1
4441089	3	22	1
4443108	2	25	1
4444539	3	13	1
4444706	32	33	1
4446996	1	18	1
4448200	1	35	1
4455696	3	28	1
4460965	25	34	1
4467706	15	23	1
4471434	2	38	1
4471733	23	24	1
4475766	36	37	1
4478139	11	13	1
4481215	24	32	1
4486705	19	22	1
4489398	29	39	1
4489529	26	40	1
4491460	3	33	1
4492980	4	31	1
4493215	30	35	1
4493362	1	35	1
4495287	5	21	1
4496256	4	37	1
4497118	15	19	1
4498843	1	34	1
4501911	3	15	1
4504094	7	25	1
4504927	1	18	1
4505512	2	26	1
4505966	30	38	1
4508172	20	25	1
4509337	27	35	1
4511421	22	32	1
4513894	7	38	1
4514453	3	33	1
4519189	10	17	1
4519399	15	32	1
4519912	10	17	1
4521752	15	37	1
4522376	16	30	1
4523357	10	16	1
4525604	12	32	1
4533632	1	9	1
4533830	6	40	1
4534013	4	26	1
4534350	1	22	1
4534860	2	30	1
4535148	6	39	1
4535976	5	28	1
4536676	5	29	1
4537297	2	27	1
4540795	3	37	1
4541044	7	23	1
4544178	6	35	1
4544793	2	34	1
4546197	4	25	1
4548088	3	29	1
4549307	9	37	1
4549402	18	24	1
4549933	1	16	1
4551552	4	39	1
4551571	1	40	1
4551679	9	36	1
4552802	11	16	1
4554214	5	36	1
4555847	24	39	1
4556490	1	34	1
4558933	16	21	1
4559901	13	36	1
4561962	10	31	1
4562350	5	22	1
4562476	11	36	1
4564684	8	32	1
4566175	14	25	1
4566795	9	18	1
4569547	23	36	1
4570386	1	33	1
4571740	19	23	1
4572778	8	38	1
4573099	29	35	1
4573989	30	34	1
4575522	2	26	1
4576987	9	38	1
4579258	27	35	1
4581230	2	43	1
4581338	2	23	1
4581585	22	35	1
4581623	24	39	1
4582096	1	26	1
4582199	1	23	1
4586606	2	32	1
4587177	10	18	1
4587519	26	35	1
4590550	26	32	1
4592116	10	39	1
4592382	6	19	1
4596534	31	37	1
4598090	32	38	1
4599122	7	13	1
4599243	15	21	1
4603370	18	24	1
4604169	13	23	1
4606192	30	34	1
4606471	7	31	1
4609050	23	38	1
4611435	1	19	1
4612752	6	36	1
4613233	7	10	1
4615013	2	3	1
4617856	2	10	1
4618251	23	40	1
4618279	9	42	1
4619038	18	22	1
4619393	22	36	1
4620290	15	26	1
4620923	7	27	1
4620996	8	39	1
4621675	1	8	1
4626255	11	12	1
4627077	20	38	1
4627482	30	40	1
4627979	19	22	1
4629186	23	34	1
4629408	18	28	1
4630342	1	14	1
4630483	16	28	1
4632528	2	22	1
4634978	22	32	1
4636767	23	31	1
4640902	2	24	1
4641742	22	27	1
4642126	9	31	1
4642477	27	33	1
4643432	18	39	1
4646379	26	38	1
4646572	10	20	1
4646797	27	34	1
4646963	31	37	1
4648677	18	24	1
4649157	5	36	1
4649316	3	36	1
4651204	4	42	1
4653765	7	39	1
4656147	6	24	1
4657049	17	18	1
4658538	9	37	1
4659903	4	39	1
4662408	18	32	1
4662532	7	16	1
4664637	16	32	1
4665232	8	23	1
4668670	2	30	1
4677087	9	25	1
4677980	1	18	1
4679731	2	15	1
4679951	1	6	1
4682104	24	34	1
4682815	14	35	1
4683548	19	36	1
4684305	5	40	1
4685672	22	36	1
4686641	1	15	1
4687210	1	36	1
4687282	9	21	1
4687814	33	35	1
4687874	10	35	1
4688658	1	36	1
4690893	7	31	1
4694598	2	16	1
4696092	7	23	1
4697300	21	29	1
4698559	4	35	1
4701258	1	36	1
4704955	17	36	1
4708162	10	37	1
4710486	14	37	1
4710953	1	36	1
4717391	9	30	1
4721425	6	40	1
4722431	6	39	1
4722443	32	38	1
4723046	6	39	1
4723818	4	40	1
4723917	8	36	1
4726454	12	28	1
4726685	5	16	1
4727086	13	37	1
4731117	8	38	1
4731588	22	26	1
4731928	10	27	1
4732473	5	14	1
4733239	11	38	1
4733793	1	35	1
4735056	10	36	1
4736166	1	37	1
4736456	28	32	1
4736774	2	14	1
4737531	1	17	1
4737605	2	30	1
4737890	5	28	1
4738058	3	24	1
4738355	8	26	1
4738678	5	31	1
4738788	2	29	1
4738858	1	34	1
4738920	1	13	1
4739318	16	41	1
4741362	3	39	1
4742517	6	42	1
4743704	10	26	1
4744206	1	33	1
4744294	6	19	1
4746210	3	38	1
4746513	3	36	1
4746636	19	28	1
4747020	8	22	1
4747737	17	30	1
4748305	17	29	1
4752960	1	34	1
4754057	19	38	1
4756468	11	29	1
4759705	7	28	1
4763189	1	25	1
4763401	20	26	1
4767753	18	29	1
4772717	31	36	1
4774438	36	39	1
4779288	9	15	1
4781151	1	34	1
4784556	1	38	1
4787119	13	18	1
4789179	9	25	1
4795414	25	34	1
4799200	1	29	1
4801923	16	35	1
4803586	21	27	1
4804342	3	15	1
4808454	11	18	1
4810552	6	9	1
4811383	18	43	1
4813115	17	34	1
4813984	1	8	1
4814400	14	27	1
4816202	23	41	1
4820799	14	20	1
4823492	6	12	1
4824311	8	37	1
4824742	20	33	1
4825152	14	33	1
4828606	10	37	1
4830779	12	17	1
4831076	27	31	1
4831320	15	22	1
4831752	9	36	1
4833498	4	34	1
4833605	4	20	1
4835375	27	28	1
4838241	12	26	1
4841809	4	13	1
4844027	3	17	1
4844376	11	26	1
4845112	5	10	1
4845892	11	31	1
4847594	10	32	1
4851303	1	37	1
4851989	8	33	1
4852907	7	38	1
4854949	18	37	1
4857146	2	36	1
4861160	25	36	1
4865858	28	39	1
4867850	3	27	1
4872571	3	4	1
4873056	31	37	1
4874505	19	30	1
4878871	25	27	1
4880480	22	32	1
4881267	8	12	1
4882656	23	33	1
4885686	1	39	1
4887910	2	36	1
4888012	10	39	1
4891736	6	29	1
4892026	7	28	1
4894800	4	23	1
4901737	16	20	1
4902335	2	36	1
4906783	5	32	1
4908061	1	16	1
4908901	21	36	1
4909116	25	35	1
4914202	2	38	1
4914910	11	14	1
4917268	14	20	1
4917460	23	38	1
4927798	18	32	1
4928187	18	29	1
4928868	1	9	1
4929661	8	12	1
4930181	23	39	1
4938998	9	35	1
4940715	8	21	1
4951789	31	33	1
4952655	5	12	1
4952788	15	39	1
4954775	14	38	1
4955862	23	37	1
4959786	22	32	1
4960911	14	32	1
4964005	23	33	1
4965152	1	38	1
4965631	14	39	1
4968528	7	35	1
4969750	2	8	1
4969942	11	30	1
4971582	10	28	1
4973094	1	37	1
4973107	10	37	1
4973301	12	30	1
4975417	1	36	1
4975565	5	10	1
4980692	4	35	1
4981107	2	32	1
4981503	16	36	1
4981607	1	5	1
4983798	24	41	1
4984025	5	39	1
4984882	22	35	1
4985137	2	32	1
4985926	1	40	1
4986508	1	35	1
4987424	13	33	1
4988262	5	26	1
4988306	7	33	1
4992204	1	4	1
4994452	2	32	1
4996185	14	35	1
4996226	7	39	1
4996275	7	31	1
4996772	2	12	1
4997363	7	21	1
5000086	4	22	1
5001488	11	43	1
5002053	2	37	1
5002367	30	38	1
5002713	18	23	1
5003504	12	19	1
5010142	26	34	1
5010988	21	30	1
5011310	3	38	1
5011382	34	41	1
5011402	28	34	1
5012038	18	25	1
5013645	32	33	1
5014583	16	18	1
5019553	6	37	1
5021200	9	24	1
5021420	14	34	1
5021791	2	33	1
5023321	13	34	1
5023430	32	41	1
5025060	1	37	1
5025179	15	20	1
5026859	2	37	1
5026910	1	35	1
5026921	9	33	1
5027479	7	29	1
5030255	11	37	1
5031379	11	30	1
5031561	13	40	1
5032456	3	21	1
5035614	4	24	1
5035937	1	39	1
5036234	12	39	1
5037812	1	29	1
5039093	5	17	1
5043734	35	36	1
5044970	1	9	1
5047163	3	23	1
5048109	12	29	1
5051232	7	24	1
5051710	3	8	1
5061217	4	8	1
5065589	18	21	1
5065696	6	14	1
5065717	8	14	1
5065850	8	17	1
5066205	1	26	1
5068210	15	36	1
5068955	14	17	1
5070407	10	32	1
5073536	6	20	1
5077552	6	25	1
5078349	9	18	1
5080433	4	27	1
5082020	1	13	1
5082140	2	8	1
5088062	4	38	1
5090997	22	39	1
5095862	6	27	1
5100691	15	24	1
5100883	12	34	1
5104037	9	29	1
5104129	1	35	1
5113911	8	40	1
5114102	9	41	1
5117415	10	23	1
5124859	18	27	1
5127543	16	31	1
5140226	17	40	1
5141293	15	32	1
5141640	11	12	1
5142406	6	35	1
5142552	7	29	1
5142784	12	39	1
5142818	17	35	1
5145066	3	40	1
5145133	1	40	1
5145395	5	28	1
5145463	10	37	1
5146071	8	36	1
5150766	20	35	1
5151245	2	6	1
5158225	14	28	1
5160662	19	32	1
5160731	18	34	1
5164424	1	2	1
5168663	8	25	1
5169304	7	11	1
5170712	2	34	1
5173804	26	33	1
5181615	19	34	1
5183812	5	38	1
5183873	8	18	1
5183925	20	30	1
5184077	6	9	1
5186247	7	40	1
5187380	13	37	1
5187579	6	31	1
5189642	4	24	1
5190166	1	12	1
5192573	3	18	1
5193026	4	37	1
5193116	1	41	1
5194204	10	34	1
5195167	22	35	1
5195251	3	37	1
5195291	10	37	1
5195317	14	34	1
5195371	8	32	1
5196739	11	29	1
5197977	3	6	1
5202319	9	34	1
5206445	20	34	1
5207756	26	37	1
5210124	6	20	1
5211134	23	35	1
5217644	10	33	1
5218601	6	38	1
5225152	3	32	1
5226688	22	24	1
5229819	18	34	1
5231170	6	39	1
5231892	31	37	1
5232617	31	34	1
5233991	8	26	1
5236110	1	31	1
5238873	3	6	1
5243848	7	28	1
5246841	12	36	1
5249435	6	41	1
5251088	10	36	1
5251569	2	36	1
5253664	20	34	1
5256756	8	35	1
5259095	8	43	1
5260757	8	34	1
5262901	9	26	1
5264517	19	29	1
5267850	13	33	1
5269240	8	14	1
5270277	2	8	1
5277439	5	44	1
5277630	7	34	1
5280502	6	30	1
5281117	4	32	1
5282727	1	38	1
5283942	22	37	1
5287108	19	38	1
5291879	8	19	1
5295176	32	41	1
5297845	9	25	1
5298490	12	39	1
5299059	15	34	1
5302118	17	36	1
5303371	12	40	1
5305364	19	33	1
5306840	6	8	1
5307076	17	36	1
5308545	2	4	1
5309255	5	32	1
5309567	8	39	1
5309667	17	32	1
5309897	6	19	1
5310258	27	32	1
5312308	2	36	1
5312366	18	36	1
5313445	1	37	1
5314737	5	41	1
5315321	1	29	1
5316838	2	16	1
5318552	2	4	1
5320534	25	29	1
5321139	5	20	1
5324231	35	38	1
5324740	19	21	1
5325724	20	38	1
5325924	32	38	1
5327281	34	39	1
5327760	27	30	1
5329783	31	33	1
5330757	28	32	1
5331421	33	37	1
5334212	34	36	1
5334637	1	23	1
5334891	8	40	1
5335794	19	30	1
5335977	24	27	1
5337844	3	25	1
5338732	1	31	1
5340630	34	39	1
5341232	5	24	1
5341323	5	32	1
5341464	22	37	1
5342295	25	32	1
5343032	23	38	1
5346474	9	31	1
5347979	7	41	1
5348270	24	28	1
5349616	13	28	1
5351162	9	31	1
5351554	12	37	1
5353009	19	30	1
5353894	10	33	1
5354266	11	38	1
5354364	16	42	1
5354844	12	37	1
5356607	17	37	1
5357073	5	30	1
5358384	8	35	1
5362345	13	29	1
5362464	6	30	1
5368769	31	35	1
5370062	7	8	1
5371159	30	38	1
5372885	7	41	1
5374940	8	33	1
5377544	3	17	1
5378416	8	37	1
5379624	8	39	1
5381554	7	35	1
5384082	6	33	1
5384158	17	29	1
