GeneID	entrezID	ensemblID	Chrom	Start	End	Biotype
TMEM240	339453	ENSG00000205090	1	1470554	1475833	protein_coding
SSU72	29101	ENSG00000160075	1	1477053	1510249	protein_coding
MIB2	142678	ENSG00000197530	1	1550795	1565990	protein_coding
MMP23B	8510	ENSG00000189409	1	1567474	1570639	protein_coding
CDK11B	984	ENSG00000248333	1	1570603	1590473	protein_coding
SLC35E2B	728661	ENSG00000189339	1	1592939	1624167	protein_coding
CDK11A	728642	ENSG00000008128	1	1634169	1655766	protein_coding
NADK	65220	ENSG00000008130	1	1682671	1711896	protein_coding
GNB1	2782	ENSG00000078369	1	1716729	1822495	protein_coding
CALML6	163688	ENSG00000169885	1	1846266	1848735	protein_coding
TMEM52	339456	ENSG00000178821	1	1849029	1850712	protein_coding
GABRD	2563	ENSG00000187730	1	1950780	1962192	protein_coding
PRKCZ	5590	ENSG00000067606	1	1981909	2116834	protein_coding
SKI	6497	ENSG00000157933	1	2160134	2241558	protein_coding
MORN1	79906	ENSG00000116151	1	2252692	2323146	protein_coding
RER1	11079	ENSG00000157916	1	2323267	2336883	protein_coding
PEX10	5192	ENSG00000157911	1	2336236	2345236	protein_coding
PLCH2	9651	ENSG00000149527	1	2357419	2436969	protein_coding
PANK4	55229	ENSG00000157881	1	2439972	2458039	protein_coding
HES5	388585	ENSG00000197921	1	2460184	2461684	protein_coding
TNFRSF14	8764	ENSG00000157873	1	2487078	2496821	protein_coding
FAM213B	127281	ENSG00000157870	1	2517930	2522908	protein_coding
MMEL1	79258	ENSG00000142606	1	2522078	2564481	protein_coding
TTC34	100287898	ENSG00000215912	1	2567415	2718286	protein_coding
ACTRT2	140625	ENSG00000169717	1	2938046	2939465	protein_coding
PRDM16	63976	ENSG00000142611	1	2985732	3355185	protein_coding
ARHGEF16	27237	ENSG00000130762	1	3370990	3397677	protein_coding
MEGF6	1953	ENSG00000162591	1	3406484	3528059	protein_coding
MIR551A	693135	ENSG00000207776	1	3477259	3477354	miRNA
TPRG1L	127262	ENSG00000158109	1	3541566	3546691	protein_coding
WRAP73	49856	ENSG00000116213	1	3547331	3569325	protein_coding
TP73	7161	ENSG00000078900	1	3569084	3652765	protein_coding
CCDC27	148870	ENSG00000162592	1	3668962	3688209	protein_coding
SMIM1	388588	ENSG00000235169	1	3689352	3692546	protein_coding
LRRC47	57470	ENSG00000130764	1	3696784	3713068	protein_coding
CEP104	9731	ENSG00000116198	1	3728645	3773778	protein_coding
DFFB	1677	ENSG00000169598	1	3773845	3801993	protein_coding
C1orf174	339448	ENSG00000198912	1	3805689	3816857	protein_coding
LINC01134	100133612	ENSG00000236423	1	3816936	3833789	lincRNA
AJAP1	55966	ENSG00000196581	1	4714792	4852594	protein_coding
MIR4689	100616421	ENSG00000264101	1	5922732	5922801	miRNA
NPHP4	261734	ENSG00000131697	1	5922871	6052533	protein_coding
KCNAB2	8514	ENSG00000069424	1	6051526	6161253	protein_coding
CHD5	26038	ENSG00000116254	1	6161853	6240183	protein_coding
RPL22	6146	ENSG00000116251	1	6241329	6269449	protein_coding
RNF207	388591	ENSG00000158286	1	6265535	6281359	protein_coding
ICMT	23463	ENSG00000116237	1	6281253	6296032	protein_coding
HES3	390992	ENSG00000173673	1	6304252	6305638	protein_coding
GPR153	387509	ENSG00000158292	1	6307406	6321035	protein_coding
ACOT7	11332	ENSG00000097021	1	6324329	6454451	protein_coding
HES2	54626	ENSG00000069812	1	6472478	6484730	protein_coding
ESPN	83715	ENSG00000187017	1	6484848	6521430	protein_coding
MIR4252	100422975	ENSG00000265392	1	6489894	6489956	miRNA
TNFRSF25	8718	ENSG00000215788	1	6521211	6526255	protein_coding
PLEKHG5	57449	ENSG00000171680	1	6526152	6580121	protein_coding
NOL9	79707	ENSG00000162408	1	6581407	6614595	protein_coding
TAS1R1	80835	ENSG00000173662	1	6615241	6639817	protein_coding
ZBTB48	3104	ENSG00000204859	1	6640061	6649340	protein_coding
KLHL21	9903	ENSG00000162413	1	6650784	6674667	protein_coding
PHF13	148479	ENSG00000116273	1	6673745	6684093	protein_coding
THAP3	90326	ENSG00000041988	1	6684926	6695646	protein_coding
DNAJC11	55735	ENSG00000007923	1	6694228	6761984	protein_coding
CAMTA1	23261	ENSG00000171735	1	6845384	7829766	protein_coding
VAMP3	9341	ENSG00000049245	1	7831329	7841492	protein_coding
PER3	8863	ENSG00000049246	1	7844380	7905237	protein_coding
UTS2	10911	ENSG00000049247	1	7903143	7913572	protein_coding
TNFRSF9	3604	ENSG00000049249	1	7979907	8000926	protein_coding
PARK7	11315	ENSG00000116288	1	8014351	8045565	protein_coding
ERRFI1	54206	ENSG00000116285	1	8064464	8086368	protein_coding
SLC45A1	50651	ENSG00000162426	1	8377886	8404227	protein_coding
RERE	473	ENSG00000142599	1	8412457	8877702	protein_coding
ENO1	2023	ENSG00000074800	1	8921061	8939308	protein_coding
CA6	765	ENSG00000131686	1	9005926	9035151	protein_coding
SLC2A7	155184	ENSG00000197241	1	9063359	9086404	protein_coding
SLC2A5	6518	ENSG00000142583	1	9095166	9148537	protein_coding
GPR157	80045	ENSG00000180758	1	9160364	9189229	protein_coding
MIR34A	407040	ENSG00000207865	1	9211727	9211836	miRNA
H6PD	9563	ENSG00000049239	1	9294834	9331396	protein_coding
SPSB1	80176	ENSG00000171621	1	9352939	9429591	protein_coding
SLC25A33	84275	ENSG00000171612	1	9599541	9645237	protein_coding
TMEM201	199953	ENSG00000188807	1	9648932	9674935	protein_coding
PIK3CD	5293	ENSG00000171608	1	9711790	9789172	protein_coding
CLSTN1	22883	ENSG00000171603	1	9789084	9884584	protein_coding
CTNNBIP1	56998	ENSG00000178585	1	9908334	9970394	protein_coding
LZIC	84328	ENSG00000162441	1	9982173	10003465	protein_coding
NMNAT1	64802	ENSG00000173614	1	10003486	10045559	protein_coding
MIR5697	100847055	ENSG00000265521	1	10027439	10027516	miRNA
RBP7	116362	ENSG00000162444	1	10057264	10076078	protein_coding
UBE4B	10277	ENSG00000130939	1	10092890	10241297	protein_coding
KIF1B	23095	ENSG00000054523	1	10270863	10441661	protein_coding
PGD	5226	ENSG00000142657	1	10458649	10480201	protein_coding
CORT	1325	ENSG00000241563	1	10509776	10511959	protein_coding
DFFA	1676	ENSG00000160049	1	10516579	10532583	protein_coding
PEX14	5195	ENSG00000142655	1	10532345	10690815	protein_coding
CASZ1	54897	ENSG00000130940	1	10696661	10856707	protein_coding
C1orf127	148345	ENSG00000175262	1	11006528	11042094	protein_coding
TARDBP	23435	ENSG00000120948	1	11072414	11085796	protein_coding
MASP2	10747	ENSG00000009724	1	11086580	11107290	protein_coding
SRM	6723	ENSG00000116649	1	11114641	11120081	protein_coding
EXOSC10	5394	ENSG00000171824	1	11126675	11159938	protein_coding
MTOR	2475	ENSG00000198793	1	11166592	11322564	protein_coding
ANGPTL7	10218	ENSG00000171819	1	11249398	11256038	protein_coding
UBIAD1	29914	ENSG00000120942	1	11333263	11356106	protein_coding
FBXO2	26232	ENSG00000116661	1	11708424	11715842	protein_coding
FBXO44	93611	ENSG00000132879	1	11714432	11723384	protein_coding
FBXO6	26270	ENSG00000116663	1	11724181	11734411	protein_coding
MAD2L2	10459	ENSG00000116670	1	11734537	11751707	protein_coding
DRAXIN	374946	ENSG00000162490	1	11751786	11785914	protein_coding
AGTRAP	57085	ENSG00000177674	1	11796141	11814859	protein_coding
MTHFR	4524	ENSG00000177000	1	11845780	11866977	protein_coding
CLCN6	1185	ENSG00000011021	1	11866207	11903201	protein_coding
NPPA	4878	ENSG00000175206	1	11905766	11908402	protein_coding
NPPB	4879	ENSG00000120937	1	11917521	11918988	protein_coding
RNU5E-1	26829	ENSG00000199347	1	11968209	11968328	snRNA
KIAA2013	90231	ENSG00000116685	1	11979648	11986485	protein_coding
PLOD1	5351	ENSG00000083444	1	11994262	12035595	protein_coding
MFN2	9927	ENSG00000116688	1	12040238	12073571	protein_coding
MIIP	60672	ENSG00000116691	1	12079523	12092102	protein_coding
TNFRSF8	943	ENSG00000120949	1	12123434	12204264	protein_coding
TNFRSF1B	7133	ENSG00000028137	1	12227060	12269285	protein_coding
MIR4632	100616438	ENSG00000263676	1	12251770	12251830	miRNA
VPS13D	55187	ENSG00000048707	1	12290124	12572099	protein_coding
SNORA59A	677885	ENSG00000239149	1	12567300	12567451	snoRNA
DHRS3	9249	ENSG00000162496	1	12627939	12677737	protein_coding
AADACL4	343066	ENSG00000204518	1	12704566	12727097	protein_coding
AADACL3	126767	ENSG00000188984	1	12776118	12788726	protein_coding
C1orf158	93190	ENSG00000157330	1	12806163	12823847	protein_coding
PRAMEF12	390999	ENSG00000116726	1	12834984	12838049	protein_coding
PRAMEF1	65121	ENSG00000116721	1	12851546	12856777	protein_coding
PRAMEF11	440560	ENSG00000204513	1	12884468	12891264	protein_coding
HNRNPCL1	343069	ENSG00000179172	1	12907261	12908578	protein_coding
PRAMEF2	65122	ENSG00000120952	1	12916941	12921764	protein_coding
PRAMEF4	400735	ENSG00000243073	1	12939045	12946025	protein_coding
PRAMEF10	343071	ENSG00000187545	1	12952727	12958101	protein_coding
PRAMEF7	441871	ENSG00000204510	1	12976450	12980569	protein_coding
PRAMEF6	440561	ENSG00000232423	1	12998181	13117751	protein_coding
PRAMEF22	653606	ENSG00000204508	1	13035543	13038381	protein_coding
PRAMEF26	645359	ENSG00000229571	1	13216356	13219581	protein_coding
PRAMEF5	343068	ENSG00000204502	1	13359819	13369057	protein_coding
PRAMEF8	391002	ENSG00000182330	1	13386646	13390765	protein_coding
PRAMEF9	343070	ENSG00000204501	1	13421176	13428191	protein_coding
PRAMEF13	400736	ENSG00000204495	1	13447414	13452656	protein_coding
PRAMEF18	391003	ENSG00000204491	1	13474689	13477522	protein_coding
PRAMEF15	653619	ENSG00000157358	1	13641973	13648988	protein_coding
PRAMEF19	645414	ENSG00000204480	1	13694889	13698405	protein_coding
PRAMEF17	391004	ENSG00000204479	1	13716092	13719089	protein_coding
PRAMEF20	645425	ENSG00000204478	1	13736907	13747803	protein_coding
LRRC38	126755	ENSG00000162494	1	13801445	13840543	protein_coding
PDPN	10630	ENSG00000162493	1	13909960	13944452	protein_coding
PRDM2	7799	ENSG00000116731	1	14026693	14151574	protein_coding
KAZN	23254	ENSG00000189337	1	14925200	15444539	protein_coding
TMEM51	55092	ENSG00000171729	1	15479028	15546976	protein_coding
C1orf195	727684	ENSG00000204464	1	15490840	15497813	protein_coding
FHAD1	114827	ENSG00000142621	1	15573768	15726779	protein_coding
EFHD2	79180	ENSG00000142634	1	15736391	15756839	protein_coding
CTRC	11330	ENSG00000162438	1	15764935	15775737	protein_coding
CELA2A	63036	ENSG00000142615	1	15783223	15798586	protein_coding
CELA2B	51032	ENSG00000215704	1	15792404	15817895	protein_coding
CASP9	842	ENSG00000132906	1	15817327	15853029	protein_coding
DNAJC16	23341	ENSG00000116138	1	15853308	15918874	protein_coding
AGMAT	79814	ENSG00000116771	1	15898848	15911605	protein_coding
DDI2	84301	ENSG00000197312	1	15943995	15995539	protein_coding
RSC1A1	6248	ENSG00000215695	1	15986364	15988217	protein_coding
PLEKHM2	23207	ENSG00000116786	1	16010827	16061264	protein_coding
SLC25A34	284723	ENSG00000162461	1	16062900	16067891	protein_coding
TMEM82	388595	ENSG00000162460	1	16068917	16074477	protein_coding
FBLIM1	54751	ENSG00000162458	1	16083102	16113089	protein_coding
SPEN	23013	ENSG00000065526	1	16174359	16266955	protein_coding
ZBTB17	7709	ENSG00000116809	1	16268364	16302627	protein_coding
HSPB7	27129	ENSG00000173641	1	16340523	16346089	protein_coding
CLCNKA	1187	ENSG00000186510	1	16345370	16360545	protein_coding
CLCNKB	1188	ENSG00000184908	1	16370272	16383803	protein_coding
FAM131C	348487	ENSG00000185519	1	16384264	16400127	protein_coding
EPHA2	1969	ENSG00000142627	1	16450832	16482582	protein_coding
ARHGEF19	128272	ENSG00000142632	1	16524349	16539104	protein_coding
FBXO42	54455	ENSG00000037637	1	16573334	16678949	protein_coding
SZRD1	26099	ENSG00000055070	1	16679070	16724640	protein_coding
SPATA21	374955	ENSG00000187144	1	16713612	16763919	protein_coding
NECAP2	55707	ENSG00000157191	1	16767167	16786573	protein_coding
RNU1-1	26871	ENSG00000206652	1	16840617	16840780	snRNA
NBPF1	55672	ENSG00000219481	1	16888814	16940057	protein_coding
CROCCP2	84809	ENSG00000215908	1	16944751	16971178	lincRNA
RNU1-3	26869	ENSG00000207513	1	16993280	16993443	snRNA
CROCC	9696	ENSG00000058453	1	17066768	17299474	protein_coding
RNU1-4	6060	ENSG00000207389	1	17067011	17067174	snRNA
MIR3675	100500876	ENSG00000263811	1	17185444	17185516	miRNA
RNU1-2	26870	ENSG00000207005	1	17222475	17222638	snRNA
MFAP2	4237	ENSG00000117122	1	17300997	17307330	protein_coding
ATP13A2	23400	ENSG00000159363	1	17312453	17338423	protein_coding
SDHB	6390	ENSG00000117118	1	17345217	17380665	protein_coding
PADI2	11240	ENSG00000117115	1	17393256	17445948	protein_coding
PADI1	29943	ENSG00000142623	1	17531621	17572500	protein_coding
PADI3	51702	ENSG00000142619	1	17575593	17610728	protein_coding
MIR3972	100616188	ENSG00000266634	1	17604384	17604470	miRNA
PADI4	23569	ENSG00000159339	1	17634690	17690499	protein_coding
RCC2	55920	ENSG00000179051	1	17733256	17766220	protein_coding
ARHGEF10L	55160	ENSG00000074964	1	17866330	18024369	protein_coding
ACTL8	81569	ENSG00000117148	1	18081808	18153558	protein_coding
IGSF21	84966	ENSG00000117154	1	18434240	18704977	protein_coding
KLHDC7A	127707	ENSG00000179023	1	18807424	18812478	protein_coding
PAX7	5081	ENSG00000009709	1	18957500	19075360	protein_coding
TAS1R2	80834	ENSG00000179002	1	19166093	19186176	protein_coding
ALDH4A1	8659	ENSG00000159423	1	19197926	19229275	protein_coding
MIR4695	100616120	ENSG00000265606	1	19209696	19209769	miRNA
MIR1290	100302276	ENSG00000221662	1	19223565	19223642	miRNA
IFFO2	126917	ENSG00000169991	1	19230775	19283180	protein_coding
UBR4	23352	ENSG00000127481	1	19401000	19536770	protein_coding
EMC1	23065	ENSG00000127463	1	19542158	19578046	protein_coding
MRTO4	51154	ENSG00000053372	1	19578033	19586622	protein_coding
AKR7A3	22977	ENSG00000162482	1	19609052	19615744	protein_coding
AKR7A2	8574	ENSG00000053371	1	19630459	19638640	protein_coding
PQLC2	54896	ENSG00000040487	1	19638820	19655794	protein_coding
CAPZB	832	ENSG00000077549	1	19665267	19812066	protein_coding
MINOS1-NBL1	100532736	ENSG00000270136	1	19923473	19984549	protein_coding
MINOS1	440574	ENSG00000173436	1	19923477	19956314	protein_coding
NBL1	4681	ENSG00000158747	1	19967048	19984945	protein_coding
HTR6	3362	ENSG00000158748	1	19991780	20006055	protein_coding
TMCO4	255104	ENSG00000162542	1	20008706	20126438	protein_coding
RNF186	54546	ENSG00000178828	1	20140523	20141771	protein_coding
OTUD3	23252	ENSG00000169914	1	20209006	20239438	protein_coding
PLA2G2E	30814	ENSG00000188784	1	20246502	20250110	protein_coding
PLA2G2A	5320	ENSG00000188257	1	20301925	20306932	protein_coding
PLA2G5	5322	ENSG00000127472	1	20354672	20417683	protein_coding
PLA2G2D	26279	ENSG00000117215	1	20438432	20446050	protein_coding
PLA2G2F	64600	ENSG00000158786	1	20465819	20476879	protein_coding
PLA2G2C	391013	ENSG00000187980	1	20487746	20503917	protein_coding
UBXN10	127733	ENSG00000162543	1	20512578	20522541	protein_coding
VWA5B1	127731	ENSG00000158816	1	20617412	20681387	protein_coding
LINC01141	339505	ENSG00000236963	1	20687072	20757727	lincRNA
CAMK2N1	55450	ENSG00000162545	1	20808884	20812713	protein_coding
MUL1	79594	ENSG00000090432	1	20825943	20834654	protein_coding
FAM43B	163933	ENSG00000183114	1	20878932	20881512	protein_coding
CDA	978	ENSG00000158825	1	20915441	20945401	protein_coding
PINK1	65018	ENSG00000158828	1	20959948	20978004	protein_coding
DDOST	1650	ENSG00000244038	1	20978270	20988000	protein_coding
KIF17	57576	ENSG00000117245	1	20990507	21044510	protein_coding
SH2D5	400745	ENSG00000189410	1	21046225	21059330	protein_coding
HP1BP3	50809	ENSG00000127483	1	21069154	21113816	protein_coding
EIF4G3	8672	ENSG00000075151	1	21132963	21503377	protein_coding
MIR1256	100302155	ENSG00000221808	1	21314807	21314925	miRNA
ECE1	1889	ENSG00000117298	1	21543740	21671997	protein_coding
NBPF3	84224	ENSG00000142794	1	21766621	21811498	protein_coding
ALPL	249	ENSG00000162551	1	21835858	21904905	protein_coding
RAP1GAP	5909	ENSG00000076864	1	21922708	21995801	protein_coding
USP48	84196	ENSG00000090686	1	22004791	22110099	protein_coding
LDLRAD2	401944	ENSG00000187942	1	22138758	22151714	protein_coding
HSPG2	3339	ENSG00000142798	1	22148738	22263790	protein_coding
CELA3B	23436	ENSG00000219073	1	22303514	22325135	protein_coding
CELA3A	10136	ENSG00000142789	1	22328149	22339032	protein_coding
LINC00339	29092	ENSG00000218510	1	22351681	22357716	lincRNA
CDC42	998	ENSG00000070831	1	22379120	22419437	protein_coding
WNT4	54361	ENSG00000162552	1	22443798	22470462	protein_coding
MIR4418	100616433	ENSG00000266564	1	22592732	22592793	miRNA
ZBTB40	9923	ENSG00000184677	1	22778344	22857650	protein_coding
EPHA8	2046	ENSG00000070886	1	22890057	22930087	protein_coding
C1QA	712	ENSG00000173372	1	22962999	22966101	protein_coding
C1QC	714	ENSG00000159189	1	22970123	22974603	protein_coding
C1QB	713	ENSG00000173369	1	22979255	22988031	protein_coding
EPHB2	2048	ENSG00000133216	1	23037332	23241818	protein_coding
MIR4684	100616391	ENSG00000265422	1	23046010	23046091	miRNA
MIR4253	100422914	ENSG00000264014	1	23189652	23189719	miRNA
LACTBL1	646262	ENSG00000215906	1	23279536	23291831	protein_coding
KDM1A	23028	ENSG00000004487	1	23345941	23410182	protein_coding
MIR3115	100422866	ENSG00000263793	1	23370798	23370865	miRNA
LUZP1	7798	ENSG00000169641	1	23410516	23504301	protein_coding
HTR1D	3352	ENSG00000179546	1	23516993	23521222	protein_coding
HNRNPR	10236	ENSG00000125944	1	23630264	23670829	protein_coding
ZNF436	80818	ENSG00000125945	1	23685941	23695935	protein_coding
TCEA3	6920	ENSG00000204219	1	23707554	23751233	protein_coding
ASAP3	55616	ENSG00000088280	1	23755056	23811061	protein_coding
E2F2	1870	ENSG00000007968	1	23832922	23857712	protein_coding
ID3	3399	ENSG00000117318	1	23884409	23886285	protein_coding
RPL11	6135	ENSG00000142676	1	24018269	24022915	protein_coding
PITHD1	57095	ENSG00000057757	1	24104895	24114722	protein_coding
LYPLA2	11313	ENSG00000011009	1	24117460	24122029	protein_coding
GALE	2582	ENSG00000117308	1	24122089	24127271	protein_coding
HMGCL	3155	ENSG00000117305	1	24128375	24165110	protein_coding
FUCA1	2517	ENSG00000179163	1	24171567	24194784	protein_coding
CNR2	1269	ENSG00000188822	1	24197016	24285549	protein_coding
MIR378F	100616492	ENSG00000264926	1	24255560	24255637	miRNA
PNRC2	55629	ENSG00000189266	1	24285599	24289952	protein_coding
SRSF10	10772	ENSG00000188529	1	24291294	24307417	protein_coding
MYOM3	127294	ENSG00000142661	1	24382525	24438665	protein_coding
IL22RA1	58985	ENSG00000142677	1	24446261	24469611	protein_coding
IFNLR1	163702	ENSG00000185436	1	24480647	24514449	protein_coding
GRHL3	57822	ENSG00000158055	1	24645812	24690972	protein_coding
STPG1	90529	ENSG00000001460	1	24683489	24743424	protein_coding
NIPAL3	57185	ENSG00000001461	1	24742284	24799466	protein_coding
RCAN3	11123	ENSG00000117602	1	24829387	24867530	protein_coding
NCMAP	400746	ENSG00000184454	1	24882602	24935819	protein_coding
SRRM1	10250	ENSG00000133226	1	24958207	24999758	protein_coding
CLIC4	25932	ENSG00000169504	1	25071848	25170815	protein_coding
RUNX3	864	ENSG00000020633	1	25226002	25291612	protein_coding
MIR4425	100616365	ENSG00000264371	1	25349994	25350077	miRNA
SYF2	25949	ENSG00000117614	1	25549170	25558993	protein_coding
RHD	6007	ENSG00000187010	1	25598884	25656936	protein_coding
TMEM50A	23585	ENSG00000183726	1	25664408	25688852	protein_coding
RHCE	6006	ENSG00000188672	1	25688740	25756683	protein_coding
LDLRAP1	26119	ENSG00000157978	1	25870071	25895377	protein_coding
MAN1C1	57134	ENSG00000117643	1	25943959	26112698	protein_coding
MTFR1L	56181	ENSG00000117640	1	26145131	26159432	protein_coding
AUNIP	79000	ENSG00000127423	1	26158414	26185903	protein_coding
PAQR7	164091	ENSG00000182749	1	26187701	26197744	protein_coding
STMN1	3925	ENSG00000117632	1	26210672	26233482	protein_coding
MIR3917	100500808	ENSG00000264021	1	26232853	26232945	miRNA
PAFAH2	5051	ENSG00000158006	1	26286258	26324648	protein_coding
EXTL1	2134	ENSG00000158008	1	26346375	26362955	protein_coding
SLC30A2	7780	ENSG00000158014	1	26363743	26372624	protein_coding
TRIM63	84676	ENSG00000158022	1	26377795	26394927	protein_coding
PDIK1L	149420	ENSG00000175087	1	26437664	26452034	protein_coding
FAM110D	79927	ENSG00000197245	1	26485511	26489119	protein_coding
ZNF593	51042	ENSG00000142684	1	26496362	26498551	protein_coding
CNKSR1	10256	ENSG00000142675	1	26503894	26516377	protein_coding
CATSPER4	378807	ENSG00000188782	1	26517052	26529459	protein_coding
CEP85	64793	ENSG00000130695	1	26560691	26605299	protein_coding
SH3BGRL3	83442	ENSG00000142669	1	26605667	26608007	protein_coding
UBXN11	91544	ENSG00000158062	1	26607819	26644854	protein_coding
CD52	1043	ENSG00000169442	1	26644448	26647014	protein_coding
ZNF683	257101	ENSG00000176083	1	26688125	26701013	protein_coding
LIN28A	79727	ENSG00000131914	1	26737269	26756213	protein_coding
DHDDS	79947	ENSG00000117682	1	26758773	26797785	protein_coding
HMGN2	3151	ENSG00000198830	1	26798941	26802463	protein_coding
RPS6KA1	6195	ENSG00000117676	1	26856252	26901521	protein_coding
MIR1976	100302190	ENSG00000238705	1	26881033	26881084	miRNA
ARID1A	8289	ENSG00000117713	1	27022524	27108595	protein_coding
PIGV	55650	ENSG00000060642	1	27113963	27124889	protein_coding
ZDHHC18	84243	ENSG00000204160	1	27153201	27184093	protein_coding
SFN	2810	ENSG00000175793	1	27189633	27190947	protein_coding
GPN2	54707	ENSG00000142751	1	27202624	27216788	protein_coding
GPATCH3	63906	ENSG00000198746	1	27216979	27226957	protein_coding
NUDC	10726	ENSG00000090273	1	27226729	27273353	protein_coding
NR0B2	8431	ENSG00000131910	1	27237980	27240457	protein_coding
TRNP1	388610	ENSG00000253368	1	27320198	27327389	protein_coding
SLC9A1	6548	ENSG00000090020	1	27425306	27493472	protein_coding
WDTC1	23038	ENSG00000142784	1	27561007	27635110	protein_coding
TMEM222	84065	ENSG00000186501	1	27648651	27662891	protein_coding
RNU6-48P	100887744	ENSG00000206888	1	27651710	27651816	snRNA
SYTL1	84958	ENSG00000142765	1	27668513	27680421	protein_coding
MAP3K6	9064	ENSG00000142733	1	27681675	27693383	protein_coding
FCN3	8547	ENSG00000142748	1	27695603	27701315	protein_coding
CD164L2	388611	ENSG00000174950	1	27705666	27709870	protein_coding
GPR3	2827	ENSG00000181773	1	27719148	27722318	protein_coding
WASF2	10163	ENSG00000158195	1	27730730	27816669	protein_coding
AHDC1	27245	ENSG00000126705	1	27860546	27930942	protein_coding
FGR	2268	ENSG00000000938	1	27938575	27961788	protein_coding
IFI6	2537	ENSG00000126709	1	27992572	27998729	protein_coding
FAM76A	199870	ENSG00000009780	1	28052490	28089633	protein_coding
STX12	23673	ENSG00000117758	1	28099694	28150963	protein_coding
PPP1R8	5511	ENSG00000117751	1	28157289	28178187	protein_coding
SCARNA1	677774	ENSG00000252947	1	28160912	28161077	snoRNA
THEMIS2	9473	ENSG00000130775	1	28199055	28213196	protein_coding
RPA2	6118	ENSG00000117748	1	28218035	28241257	protein_coding
SMPDL3B	27293	ENSG00000130768	1	28261504	28285668	protein_coding
XKR8	55113	ENSG00000158156	1	28285973	28294607	protein_coding
EYA3	2140	ENSG00000158161	1	28296855	28415207	protein_coding
PTAFR	5724	ENSG00000169403	1	28473677	28520447	protein_coding
DNAJC8	22826	ENSG00000126698	1	28525967	28559536	protein_coding
SESN2	83667	ENSG00000130766	1	28586038	28609002	protein_coding
MED18	54797	ENSG00000130772	1	28655513	28662476	protein_coding
PHACTR4	65979	ENSG00000204138	1	28696114	28826881	protein_coding
RCC1	1104	ENSG00000180198	1	28832455	28865812	protein_coding
SNHG3	8420	ENSG00000242125	1	28832492	28837404	snoRNA
SNORA73B	26768	ENSG00000200087	1	28835071	28835274	snoRNA
TRNAU1AP	54952	ENSG00000180098	1	28879597	28905051	protein_coding
